scenario,household_class,NPV_no_policy,NPV_policy,delta_NPV,pct_change_%
baseline,HFR,183477.08100469704,186721.41243650913,3244.331431812083,1.7682488810300017
baseline,HMR,217760.53955679867,221815.95384656376,4055.414289765089,1.8623274437227841
baseline,MFIR,271945.94373592245,276812.44088364055,4866.497147718095,1.789509003467163
baseline,MFR,238525.95047635,242581.3647661151,4055.414289765089,1.700198356474915
baseline,MMIR,315805.2492797319,321888.37071437953,6083.121434647648,1.9262255610131933
baseline,MMR,271945.94373592245,276812.44088364055,4866.497147718095,1.789509003467163
drought,HFR,175121.25831499006,178365.58974680214,3244.331431812083,1.8526199863048585
drought,HMR,207315.76119466493,211371.17548443004,4055.414289765118,1.9561533895906515
drought,MFIR,259412.209701362,264278.7068490801,4866.497147718095,1.8759707391261335
drought,MFR,228081.17211421626,232136.58640398135,4055.414289765089,1.7780574574275867
drought,MMIR,300138.08173653134,306221.20317117893,6083.12143464759,2.026774276510331
drought,MMR,259412.209701362,264278.7068490801,4866.497147718095,1.8759707391261335
fert_shock,HFR,178069.86195167692,182936.35909939505,4866.497147718124,2.732914539484916
fert_shock,HMR,211001.51574052352,217084.63717517117,6083.121434647648,2.882975230437805
fert_shock,MFIR,263835.1151563923,271134.8608779695,7299.745721577201,2.7667832302194264
fert_shock,MFR,231766.92666007485,237850.0480947225,6083.121434647648,2.6246719160104934
fert_shock,MMIR,305666.7135553192,314791.3957072906,9124.682151971443,2.9851736375999085
fert_shock,MMR,263835.1151563923,271134.8608779695,7299.745721577201,2.7667832302194264
